[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3828684803.44002,04/27/2021,11:35 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 316, MultiVu Release 2.2.1.73,APPNAME
INFO,0,MOMENT_UNITS
INFO,NTO,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,28.835,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,55.27,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3828685399.23393,3.71635031700134,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.70020079612732,3.7317943572998,1000.05786132813,1000.05786132813,,,3.46127414703369,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.73249983787537,0,2080379808,3.71592109203339,,,0.0271602900288822,0.00136930500518338,0.0273714481662249,0.00136973658880734,0.871845841407776,0.958771646022797,31.338191986084,0.190903544425964,30,4,200,-0.000671969028189778,-1.11709308624268,0.191133111715317,1,,,,,,,,,,,,,,,,
,3828685429.16332,3.815997838974,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.80005121231079,3.83111977577209,1000.05786132813,1000.05786132813,,,3.50336217880249,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.83194446563721,0,2080379840,3.81586134433746,,,0.0270125184369118,0.00136186671478446,0.0272227929284823,0.00136229753318889,0.871783792972565,0.958783745765686,31.3379173278809,0.190910995006561,30,4,200,-0.00068879354512319,-1.11370325088501,0.187572598457336,1,,,,,,,,,,,,,,,,
,3828685459.40444,3.91690874099731,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.90049290657043,3.93195652961731,1000.05786132813,1000.05786132813,,,3.54407787322998,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,2,1,1,3.93332457542419,0,2080379904,3.91636297702789,,,0.0268672081414971,0.00135455239922033,0.0270768276502099,0.00135499268189058,0.87171733379364,0.958789229393005,31.3376312255859,0.190917432308197,30,4,200,-0.000669045781251043,-1.09959197044373,0.183981075882912,1,,,,,,,,,,,,,,,,
,3828685538.48782,4.0002007484436,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.99877715110779,4.00173139572144,1000.05786132813,1000.05786132813,,,3.57129979133606,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,1,1,1,4.00046443939209,0,2080379808,4.00031321048737,,,0.0267481583506046,0.00134856343247192,0.0269571214323617,0.00134900071795772,0.871641397476196,0.958812952041626,31.3373050689697,0.190916433930397,30,4,200,-0.000625249522272497,-1.09965682029724,0.189092829823494,1,,,,,,,,,,,,,,,,
,3828685560.14913,4.00107097625732,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,3.99770140647888,4.00198459625244,1000.05786132813,1000.05786132813,,,3.57677435874939,-99999999,1,0,0,0,0.013885498046875,29.8142719268799,1,1,1,4.00089406967163,0,2080379840,4.00025041103363,,,0.0267475694655095,0.00134850135881911,0.0269556561902031,0.00134892668545688,0.87182754278183,0.958832085132599,31.3379974365234,0.190921247005463,30,4,200,-0.000618605350609869,-1.10075950622559,0.187870696187019,1,,,,,,,,,,,,,,,,
,3828685576.65818,4.36137557029724,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,4.15375757217407,4.55649375915527,1000.05786132813,1000.05786132813,,,3.75189638137817,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,6,1,1,4.56899356842041,0,2080379776,4.34999160766602,,,0.0262886790094594,0.00132542799186261,0.0264942868539533,0.00132586057592794,0.87146931886673,0.958433091640472,31.3370952606201,0.19092284142971,30,4,200,-0.00107463542371988,-1.09095299243927,0.178077518939972,1,,,,,,,,,,,,,,,,
,3828685617.9408,6.22054409980774,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,6.00009918212891,6.42877244949341,1000.05786132813,1000.05786132813,,,4.27296590805054,-99999999,1,0,0,0,0.0147247314453125,30.3030319213867,6,1,1,6.44098901748657,0,2080379904,6.2139865398407,,,0.0242012896593153,0.00122036198269073,0.0243943619316093,0.0012207658565247,0.870365738868713,0.958576142787933,31.33251953125,0.190947368741035,30,4,200,-0.000924937252420932,-0.999804317951202,0.170947939157486,1,,,,,,,,,,,,,,,,
,3828685661.11535,8.22946929931641,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,8.01582717895508,8.44403457641602,1000.05786132813,1000.05786132813,,,4.66907072067261,-99999999,1,0,0,0,0.014801025390625,29.8142719268799,6,1,1,8.45568084716797,0,2080379840,8.22787580490112,,,0.0224258352266568,0.00113091718595826,0.0226065562188568,0.00113129332866136,0.869806289672852,0.958687663078308,31.330135345459,0.190968334674835,30,4,200,-0.000836073071695864,-0.930190086364746,0.156920850276947,1,,,,,,,,,,,,,,,,
,3828685703.18798,10.2223620414734,1000.05786132813,,,6,,,,31.7933628403348,,,100,,,,,,,,,,,,,,,,,,,,,,10.0047740936279,10.4308500289917,1000.05786132813,1000.05786132813,,,4.9606876373291,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,6,1,1,10.4399499893188,0,2080379904,10.2179599761963,,,0.0209494815407894,0.00105650405085517,0.0211192814986923,0.00105686322176764,0.869534969329834,0.958757698535919,31.3290004730225,0.190960347652435,30,4,200,-0.000759033602662385,-0.85999459028244,0.146788388490677,1,,,,,,,,,,,,,,,,
,3828685747.46737,12.3338270187378,1000.05786132813,,,6,,,,31.7983639784801,,,100,,,,,,,,,,,,,,,,,,,,,,12.1124334335327,12.5402898788452,1000.05786132813,1000.05786132813,,,5.46100330352783,-99999999,1,0,0,0,0.0147247314453125,29.8142719268799,6,1,1,12.5552206039429,0,2080379968,12.3251420974731,,,0.0195827359969009,0.000987721506649459,0.0197442297308107,0.000988049050952269,0.868443608283997,0.958836376667023,31.3294925689697,0.191016346216202,30,4,200,-0.000695547845680267,-0.804452478885651,0.138028189539909,1,,,,,,,,,,,,,,,,
