# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.03163433   -0.74450050   -0.15741109    0.00099806    0.88987178   -0.37957439   -0.42720322    0.56736015
   -0.62606218    0.37928422   -0.15882975    0.00044359    0.89966519   -0.38697781    0.55562502   -0.41022241
   -0.63518906    0.35871537   -0.15986919    0.00000810    0.90356019   -0.40331540    0.55302892   -0.39286968
   -0.65121357    0.34747214   -0.15973321    0.00042878    0.89359325   -0.42019640    0.56027450   -0.38302743
   -0.63536770    0.35850797   -0.15986954    0.00000165    0.90348195   -0.40354019    0.55307307   -0.39268957
    0.65654180    0.34594722   -0.15971038    0.00091464    0.89109016    0.56363440   -0.42485872   -0.38169030
   -0.62929841    0.40035055   -0.15760443    0.00089335    0.88982048   -0.37963675    0.56783856   -0.42791335
   -0.62606041    0.37942568   -0.15886591    0.00044271    0.89956594   -0.38693333    0.55566684   -0.41036371
   -0.62790806    0.39692774   -0.15787212    0.00083412    0.89057813   -0.38021346    0.56516853   -0.42507374
   -0.63154609    0.36371696   -0.15970174    0.00012270    0.90458959   -0.39831421    0.55254521   -0.39713247
   -0.62744731    0.37286030   -0.15928029    0.00030778    0.90274528   -0.39104099    0.55364729   -0.40486676
   -0.62580554    0.38202086   -0.15862709    0.00050171    0.89813272   -0.38549244    0.55672400   -0.41249852
    0.02044224    0.73445487    0.15801557    0.00000040    0.89642039    0.41471810    0.38394016   -0.55832140
   -0.63386680    0.36034856   -0.15983796    0.00004632    0.90408020   -0.40159432    0.55275918   -0.39427351
   -0.62999615    0.36649079   -0.15959445    0.00017980    0.90446729   -0.39588743    0.55263841   -0.39948926
   -0.66104561    0.34524258   -0.15952607    0.00066596    0.89018150   -0.42846201    0.56681207   -0.38098433
   -0.63551572    0.35833851   -0.15987243    0.00000338    0.90341078   -0.40372674    0.55310939   -0.39254373
   -0.63125318    0.36421887   -0.15973647    0.00013450    0.90457249   -0.39789317    0.55252525   -0.39758638
   -0.02182165   -0.73550444   -0.15954147    0.00000622    0.89561923   -0.41698632   -0.38413152    0.55846013
   -0.62682568    0.39330842   -0.15794615    0.00074982    0.89201142   -0.38100925    0.56274311   -0.42196514
   -0.02195266   -0.73559377   -0.15953715    0.00001721    0.89553245   -0.41712158   -0.38406953    0.55853998
   -0.63541141    0.35845751   -0.15987056    0.00000043    0.90346189   -0.40359555    0.55308353   -0.39264622
   -0.63378747    0.36045192   -0.15983005    0.00004841    0.90410941   -0.40148567    0.55274839   -0.39435935
   -0.64227230    0.35223586   -0.15989040    0.00019138    0.89921980   -0.41147463    0.55553425   -0.38724804
   -0.02177423   -0.73547663   -0.15958721    0.00005536    0.89560438   -0.41696172   -0.38417831    0.55841277
   -0.63167233    0.36351155   -0.15972097    0.00011877    0.90457543   -0.39850828    0.55254123   -0.39696367
   -0.62885158    0.39939532   -0.15761381    0.00087762    0.89000145   -0.37972030    0.56708226   -0.42708776
   -0.62953894    0.40079265   -0.15768019    0.00090632    0.88971833   -0.37966407    0.56817338   -0.42833606
    0.65394452   -0.34671738    0.16063016    0.00040861    0.89159651    0.42303506   -0.56154758    0.38282609
   -0.63551600    0.35833818   -0.15987391    0.00000328    0.90341005   -0.40372785    0.55310871   -0.39254419
   -0.64969454    0.34808274   -0.15976823    0.00038856    0.89443242   -0.41880525    0.55937860   -0.38357595
    0.65465197    0.34636467   -0.15956942    0.00095734    0.89183487    0.56246463   -0.42318314   -0.38198170
   -0.63565650    0.35817823   -0.15987581    0.00000817    0.90333999   -0.40390409    0.55314399   -0.39240612
    0.65711617   -0.34592654    0.16043953    0.00000033    0.89083581    0.42566976   -0.56368813    0.38204199
    0.66126424    0.34520008   -0.15948449    0.00081670    0.89010303    0.56697926   -0.42862399   -0.38092632
    0.02013526    0.73426315    0.15799786    0.00004025    0.89659469    0.41439470    0.38407894   -0.55816372
   -0.63238935    0.36240044   -0.15974864    0.00009495    0.90448487   -0.39954500    0.55258405   -0.39601185
    0.01279312    0.73083750    0.15827189    0.00098216    0.90002786    0.40751756    0.38825616   -0.55504700
    0.02045398    0.73446242    0.15801677    0.00000182    0.89641198    0.41473083    0.38393520   -0.55832735
    0.01905603    0.73362840    0.15798161    0.00017475    0.89718314    0.41329813    0.38460726   -0.55762019
    0.01705257    0.73254088    0.15790762    0.00046347    0.89825228    0.41127974    0.38560529   -0.55671237
   -0.02663825   -0.73930509   -0.15946715    0.00059390    0.89245764   -0.42222647   -0.38211977    0.56180157
    0.65714608   -0.34592054    0.16044061    0.00000592    0.89082451    0.42569544   -0.56370749    0.38203732
