[Header]
TITLE,20201219-Sample 4.9mg.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.9,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3817581117.33647,,1857,44.8221,44.8221,0.13347499,9.8999999E-6,45.016519,0.90779619,446.07516,0.9799,494.80114,0.4469,940.8763,0.9799,0.38741835,20.459063,0.62445013,88.502734,,,1,,,,4.7374709E-5,40.398437,2026.487,9.9091438,0
3817581284.13125,,1857,44.8222,44.8222,0.12134091,9.8999999E-6,45.00224,0.91453802,446.72839,0.8802,494.56047,0.4466,941.28886,0.8802,0.94727229,20.574601,0.63133987,88.444526,,,1,,,,4.7140324E-5,40.918126,2025.2016,9.9268034,0
3817581844.95749,,1857,40.5444,40.5444,0.097072721,9.8999999E-6,40.77802,0.90458873,366.73116,1.028,417.47131,0.3743,784.20247,1.028,0.17985943,18.075,0.53528218,88.825489,,,1,,,,4.4617183E-5,41.149202,1662.8469,8.993354,0
3817581996.08636,,1857,40.5446,40.5446,0.13347499,9.8999999E-6,40.701678,0.823303,367.96948,0.8225,416.19471,0.3735,784.16419,0.8225,0.45299122,18.310726,0.56071924,88.468104,,,1,,,,4.4094626E-5,36.149999,1656.6266,9.0406466,0
3817582149.39333,,1857,40.5443,40.5443,0.12134091,9.8999999E-6,40.688542,0.82964587,368.41666,0.7285,415.99191,0.3734,784.40857,0.7285,1.1100083,18.42288,0.57084914,88.339449,,,1,,,,4.3858608E-5,36.621453,1655.5575,9.0545555,0
3817582647.16208,,1857,36.6754,36.6754,0.03640227,9.8999999E-6,36.870933,0.82346593,299.93504,0.8762,351.37953,0.3436,651.31457,0.8762,0.18790836,16.134829,0.47986433,88.776574,,,1,,,,4.1483363E-5,36.84576,1359.4657,8.1347289,0
3817582783.90053,,1857,36.6746,36.6746,0.07280454,9.8999999E-6,36.799297,0.7457583,300.66186,0.6884,350.27505,0.3427,650.93691,0.6884,0.55516974,16.356369,0.50777335,88.316408,,,1,,,,4.0957445E-5,32.269658,1354.1883,8.1703152,0
3817582921.97764,,1857,36.6747,36.6747,0.14560908,9.8999999E-6,36.788037,0.75199241,301.21639,0.6149,350.11459,0.3425,651.33098,0.6149,1.5997201,16.459278,0.51477542,88.23514,,,1,,,,4.0738281E-5,32.712739,1353.3597,8.1878897,0
3817583379.8873,,1857,33.1748,33.1748,0.097072721,9.8999999E-6,33.332345,0.74462659,243.44504,0.6895,295.02,0.276,538.46503,0.6895,0.22684283,14.415534,0.43385963,88.639997,,,1,,,,3.8362823E-5,32.918556,1111.0452,7.3035676,0
3817583490.41395,,1857,33.1746,33.1746,0.097072721,9.8999999E-6,33.272157,0.67475216,244.34579,0.6114,294.15782,0.2751,538.5036,0.6114,0.36037773,14.572037,0.45543573,88.233944,,,1,,,,3.8002883E-5,28.831069,1107.0364,7.3438518,0
3817583614.83316,,1857,33.1741,33.1741,0.10920681,9.8999999E-6,33.261894,0.68034093,244.45598,0.5043,294.01944,0.275,538.47542,0.5043,1.6649815,14.668294,0.46315278,88.121267,,,1,,,,3.7764271E-5,29.144074,1106.3536,7.3494307,0
