#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 180  20
# Band-Index    1
   2.15247    -13.230436  0.536  0.090  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.740
   2.16689    -13.184499  0.534  0.092  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.740
   2.18132    -13.137633  0.532  0.096  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.740
   2.19575    -13.089775  0.528  0.098  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.742
   2.21018    -13.040982  0.526  0.100  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.742
   2.22460    -12.991241  0.522  0.102  0.000  0.116  0.000  0.000  0.000  0.000  0.000  0.742
   2.23903    -12.940551  0.520  0.106  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.742
   2.25346    -12.888913  0.516  0.108  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.742
   2.26789    -12.836393  0.514  0.110  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.744
   2.28232    -12.782970  0.510  0.114  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.744
   2.29674    -12.728514  0.508  0.116  0.000  0.120  0.000  0.000  0.000  0.000  0.000  0.744
   2.31117    -12.673119  0.504  0.120  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.744
   2.32560    -12.616843  0.500  0.122  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.746
   2.32560    -12.616843  0.500  0.122  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.746
   2.35445    -12.742615  0.506  0.132  0.000  0.106  0.000  0.000  0.000  0.000  0.000  0.744
   2.38331    -12.889524  0.506  0.142  0.000  0.094  0.000  0.000  0.000  0.000  0.000  0.740
   2.41216    -13.052429  0.506  0.148  0.000  0.084  0.000  0.000  0.000  0.000  0.000  0.736
   2.44102    -13.227114  0.504  0.152  0.000  0.076  0.000  0.000  0.000  0.000  0.000  0.732
   2.46987    -13.409961  0.502  0.154  0.000  0.072  0.000  0.000  0.000  0.000  0.000  0.728
   2.49873    -13.598126  0.502  0.154  0.000  0.066  0.000  0.000  0.000  0.000  0.000  0.724
   2.52758    -13.789601  0.502  0.154  0.000  0.062  0.000  0.000  0.000  0.000  0.000  0.720
   2.55644    -13.983093  0.504  0.152  0.000  0.060  0.000  0.000  0.000  0.000  0.000  0.716
   2.58529    -14.177106  0.506  0.150  0.000  0.058  0.000  0.000  0.000  0.000  0.000  0.712
   2.61415    -14.370966  0.508  0.146  0.000  0.054  0.000  0.000  0.000  0.000  0.000  0.710
   2.64300    -14.563994  0.510  0.144  0.000  0.052  0.000  0.000  0.000  0.000  0.000  0.706
   2.67186    -14.755525  0.514  0.140  0.000  0.050  0.000  0.000  0.000  0.000  0.000  0.704
   2.70072    -14.945186  0.518  0.136  0.000  0.048  0.000  0.000  0.000  0.000  0.000  0.700
   2.72957    -15.132623  0.522  0.130  0.000  0.046  0.000  0.000  0.000  0.000  0.000  0.698
   2.75843    -15.317477  0.524  0.126  0.000  0.044  0.000  0.000  0.000  0.000  0.000  0.696
   2.78728    -15.499653  0.530  0.122  0.000  0.042  0.000  0.000  0.000  0.000  0.000  0.692
   2.81614    -15.678907  0.534  0.116  0.000  0.040  0.000  0.000  0.000  0.000  0.000  0.690
   2.84499    -15.854998  0.538  0.112  0.000  0.038  0.000  0.000  0.000  0.000  0.000  0.688
   2.87385    -16.027774  0.542  0.108  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.686
   2.90270    -16.197173  0.546  0.102  0.000  0.036  0.000  0.000  0.000  0.000  0.000  0.684
   2.93156    -16.363028  0.550  0.098  0.000  0.034  0.000  0.000  0.000  0.000  0.000  0.682
   2.96041    -16.525280  0.556  0.094  0.000  0.032  0.000  0.000  0.000  0.000  0.000  0.680
   2.98927    -16.683793  0.560  0.088  0.000  0.030  0.000  0.000  0.000  0.000  0.000  0.678
   3.01812    -16.838532  0.564  0.084  0.000  0.028  0.000  0.000  0.000  0.000  0.000  0.676
   3.04698    -16.989355  0.568  0.080  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.674
   3.07583    -17.136274  0.572  0.076  0.000  0.026  0.000  0.000  0.000  0.000  0.000  0.674
   3.10469    -17.279229  0.576  0.072  0.000  0.024  0.000  0.000  0.000  0.000  0.000  0.672
   3.13354    -17.418135  0.580  0.068  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.670
   3.16240    -17.552961  0.584  0.064  0.000  0.022  0.000  0.000  0.000  0.000  0.000  0.668
   3.19125    -17.683678  0.588  0.060  0.000  0.020  0.000  0.000  0.000  0.000  0.000  0.668
   3.22011    -17.810233  0.592  0.056  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.666
   3.24896    -17.932578  0.596  0.052  0.000  0.018  0.000  0.000  0.000  0.000  0.000  0.664
   3.27782    -18.050715  0.600  0.048  0.000  0.016  0.000  0.000  0.000  0.000  0.000  0.664
   3.30667    -18.164572  0.604  0.044  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.662
   3.33553    -18.274151  0.606  0.042  0.000  0.014  0.000  0.000  0.000  0.000  0.000  0.662
   3.36438    -18.379410  0.610  0.038  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.660
   3.39324    -18.480330  0.612  0.034  0.000  0.012  0.000  0.000  0.000  0.000  0.000  0.660
   3.42209    -18.576902  0.616  0.032  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.658
   3.45095    -18.669080  0.618  0.028  0.000  0.010  0.000  0.000  0.000  0.000  0.000  0.658
   3.47981    -18.756870  0.622  0.026  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.656
   3.50866    -18.840252  0.624  0.024  0.000  0.008  0.000  0.000  0.000  0.000  0.000  0.656
   3.53752    -18.919209  0.626  0.020  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.654
   3.56637    -18.993714  0.630  0.018  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.654
   3.59523    -19.063774  0.632  0.016  0.000  0.006  0.000  0.000  0.000  0.000  0.000  0.654
