SYSTEM,U_eV,ENERGY_TOTEN_eV,NMAG_ION,ENERGY_REDUCED_eV,NIONS,NELECT,LNONCOLLINEAR,LSORBIT,J1,J2,J3,J4,STATUS
NaTmO2-nosoc_ncol-U=1-AFM-221-stripe2-x,1,-112.87782068,4,-28.21945517,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-221-stripe1-z,1,-112.87421159,4,-28.2185528975,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-221-stripe1-x,1,-112.87831205,4,-28.2195780125,16,168,1,0,-4,-4,4,12,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-221-stripe2-z,1,-112.8778213,4,-28.219455325,16,168,1,0,-4,-4,-4,12,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-112-z,1,-56.40963,2,-28.204815,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-gen3gen31-z,1,-84.63901206,3,-28.21300402,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-gen3gen31-upu,1,-84.31895906,3,-28.1063196866667,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-221-z,1,-112.85152128,4,-28.21288032,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-112-x,1,-56.42526924,2,-28.21263462,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-112-x,1,-56.27927261,2,-28.139636305,8,84,1,0,6,6,-6,6,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-origin-z,1,-28.06585786,1,-28.06585786,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=1-PM-origin,1,-27.16043315,1,-27.16043315,4,42,1,0,0,0,0,0,CONVERGE
NaTmO2-nosoc_ncol-U=1-AFM-gen3gen31-120,1,-84.67067625,3,-28.22355875,12,126,1,0,-3,9,1,-3,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-112-z,1,-56.40920898,2,-28.20460449,8,84,1,0,6,6,6,6,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-gen3gen31-x,1,-84.63051305,3,-28.2101710166667,12,126,1,0,9,9,9,9,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-origin-x,1,-28.21216924,1,-28.21216924,4,42,1,0,3,3,3,3,CONVERGE
NaTmO2-nosoc_ncol-U=1-FM-221-x,1,-112.8515134,4,-28.21287835,16,168,1,0,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-221-stripe2-x,1,-116.6171225,4,-29.154280625,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-221-stripe1-z,1,-116.65592973,4,-29.1639824325,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-221-stripe1-x,1,-116.61791433,4,-29.1544785825,16,168,1,1,-4,-4,4,12,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-221-stripe2-z,1,-116.66097822,4,-29.165244555,16,168,1,1,-4,-4,-4,12,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-112-z,1,-57.89774602,2,-28.94887301,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=1-FM-gen3gen31-z,1,-87.47610548,3,-29.1587018266667,12,126,1,1,9,9,9,9,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-gen3gen31-upupd,1,-87.4533511,3,-29.1511170333333,12,126,1,1,-3,9,1,-3,CONVERGE
NaTmO2-soc_ncol-U=1-FM-221-z,1,-116.63347593,4,-29.1583689825,16,168,1,1,12,12,12,12,CONVERGE
NaTmO2-soc_ncol-U=1-FM-112-x,1,-58.29000005,2,-29.145000025,8,84,1,1,6,6,6,6,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-112-x,1,-58.20020905,2,-29.100104525,8,84,1,1,6,6,-6,6,CONVERGE
NaTmO2-soc_ncol-U=1-FM-origin-z,1,-29.1441846,1,-29.1441846,4,42,1,1,3,3,3,3,CONVERGE
NaTmO2-soc_ncol-U=1-PM-origin,1,-28.57810883,1,-28.57810883,4,42,1,1,0,0,0,0,CONVERGE
NaTmO2-soc_ncol-U=1-AFM-gen3gen31-120,1,-87.46963093,3,-29.1565436433333,12,126,1,1,-3,9,1,-3,CONVERGE
